,Unnamed: 0,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_brand,CPU_base_clock_speed,PrimaryStorage,PrimaryStorageType,SecondaryStorage,SecondaryStorageType,GPU_company,UsageType
823,823,11,1,15.6,8.0,5,2.4,1199.0,1,1920.0,1080.0,0,0,0,1,2.5,256,3,0,2,3,0
824,824,10,4,14.0,8.0,5,1.13,1875.0,1,1920.0,1080.0,0,1,0,1,2.5,256,0,0,2,2,0
825,825,16,3,14.0,4.0,5,1.75,499.0,3,1366.0,768.0,0,0,0,1,2.1,128,3,0,2,2,2
826,826,2,0,13.3,8.0,5,1.1,1358.0,1,1920.0,1080.0,1,0,0,1,2.5,256,3,0,2,2,0
827,827,4,3,14.0,4.0,5,1.76,585.0,3,1366.0,768.0,0,0,0,1,2.0,500,1,0,2,2,2
828,828,0,2,11.6,4.0,1,1.35,355.0,3,1366.0,768.0,0,1,0,1,1.6,32,0,0,2,2,2
829,829,0,3,14.0,8.0,5,1.5,619.0,1,1920.0,1080.0,0,1,0,1,2.4,128,3,0,2,2,2
830,830,14,1,17.3,16.0,5,3.49,2711.2200000000007,0,3840.0,2160.0,1,0,0,1,2.9,512,3,0,2,3,0
831,831,10,4,14.0,16.0,5,1.1,2099.0,2,2560.0,1440.0,0,1,0,1,2.6,512,3,0,2,2,0
832,832,2,3,15.6,4.0,2,2.1,519.0,1,1920.0,1080.0,0,0,0,1,2.5,1,4,0,2,3,0
833,833,10,3,14.0,8.0,5,1.7,1186.0,1,1920.0,1080.0,0,0,0,1,2.3,256,3,0,2,2,2
834,834,10,3,14.0,8.0,5,1.32,1650.0,1,1920.0,1080.0,0,1,0,1,2.6,256,3,0,2,2,0
835,835,4,1,15.6,16.0,5,3.21,2711.2200000000007,1,1920.0,1080.0,0,0,0,1,2.8,256,3,1024,0,3,0
836,836,2,1,17.3,16.0,5,2.9,2419.0,1,1920.0,1080.0,0,0,0,1,2.8,256,3,1024,0,3,0
