,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_brand,CPU_base_clock_speed,PrimaryStorage,PrimaryStorageType,SecondaryStorage,SecondaryStorageType,GPU_company
30,Chuwi,Notebook,15.6,4.0,Windows 10,1.89,244.99,Full HD,1920.0,1080.0,No,No,No,Intel,1.44,64,GB Flash Storage,0,No,Intel
31,Asus,Notebook,14.0,2.0,Windows 10,1.65,229.0,Standard,1366.0,768.0,No,No,No,AMD,1.5,32,GB Flash Storage,0,No,AMD
32,HP,Notebook,17.3,4.0,Windows 10,2.71,439.0,Full HD,1920.0,1080.0,No,No,No,AMD,2.5,500,GB HDD,0,No,AMD
33,Dell,Ultrabook,13.3,16.0,Windows 10,1.2,1869.0,Quad HD+,3200.0,1800.0,Yes,No,No,Intel,1.8,512,GB SSD,0,No,Intel
34,Apple,Ultrabook,13.3,8.0,Mac OS X,1.35,998.0,Standard,1440.0,900.0,No,No,No,Intel,1.6,256,GB Flash Storage,0,No,Intel
35,Lenovo,Notebook,14.0,4.0,Windows 10,1.44,249.0,Standard,1366.0,768.0,No,No,No,Intel,1.1,64,GB Flash Storage,0,No,Intel
36,Acer,Notebook,15.6,4.0,Linux,2.1,367.0,Standard,1366.0,768.0,No,No,No,Intel,2.7,1,TB HDD,0,No,Intel
37,Dell,Notebook,17.3,8.0,Windows 10,2.8,979.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.6,128,GB SSD,1024,HDD,AMD
38,HP,Notebook,15.6,4.0,Windows 10,1.86,488.69,Standard,1366.0,768.0,No,No,No,Intel,2.5,1,TB HDD,0,No,Intel
39,HP,Notebook,15.6,8.0,Windows 10,2.1,879.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,256,GB SSD,0,No,Nvidia
40,Asus,Notebook,15.6,4.0,Linux,2.0,389.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,1,TB HDD,0,No,Intel
41,Dell,Gaming,15.6,16.0,Windows 10,2.65,1499.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.8,256,GB SSD,1024,HDD,Nvidia
42,Asus,Notebook,15.6,8.0,Linux,2.3,522.99,Standard,1366.0,768.0,No,No,No,Intel,2.5,1,TB HDD,0,No,Nvidia
43,Acer,Notebook,15.6,4.0,Windows 10,2.2,682.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.6,256,GB SSD,0,No,Intel
44,Dell,2 in 1 Convertible,17.3,12.0,Windows 10,2.77,999.0,Full HD,1920.0,1080.0,Yes,No,No,Intel,1.6,1,TB HDD,0,No,Nvidia
45,Apple,Ultrabook,13.3,8.0,macOS,1.37,1419.0,Standard,2560.0,1600.0,No,Yes,Yes,Intel,2.0,256,GB SSD,0,No,Intel
46,Lenovo,Notebook,15.6,4.0,No OS,2.2,369.0,Standard,1366.0,768.0,No,No,No,Intel,2.0,128,GB SSD,0,No,Intel
47,Asus,Gaming,17.3,8.0,Windows 10,3.2,1299.0,Full HD,1920.0,1080.0,No,No,No,AMD,3.0,256,GB SSD,1024,HDD,AMD
48,Dell,Notebook,15.6,4.0,Windows 10,2.3,639.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,AMD
49,Asus,Notebook,17.3,4.0,Windows 10,2.8,466.0,Standard,1366.0,768.0,No,No,No,Intel,1.1,1,TB HDD,0,No,Nvidia
50,Lenovo,2 in 1 Convertible,11.6,4.0,Android,0.97,319.0,Standard,1920.0,1200.0,Yes,Yes,No,Intel,1.44,64,GB Flash Storage,0,No,Intel
51,Acer,Notebook,15.6,8.0,Windows 10,2.2,841.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.8,256,GB SSD,0,No,Nvidia
52,HP,Notebook,15.6,4.0,Windows 10,1.86,398.49,Full HD,1920.0,1080.0,No,No,No,AMD,2.5,256,GB SSD,0,No,AMD
53,HP,Notebook,13.3,8.0,Windows 10,1.49,1103.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,512,GB SSD,0,No,Intel
54,Acer,Notebook,15.6,4.0,Windows 10,2.4,384.0,Standard,1366.0,768.0,No,No,No,Intel,2.4,1,TB HDD,0,No,Intel
55,Dell,Notebook,15.6,8.0,Windows 10,2.13,767.8,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,256,GB SSD,0,No,AMD
56,HP,Notebook,15.6,4.0,Windows 10,1.91,439.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,128,GB SSD,0,No,Intel
57,Asus,Notebook,15.6,4.0,Windows 10,2.0,586.19,Standard,1366.0,768.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Intel
58,MSI,Gaming,17.3,16.0,Windows 10,2.43,2449.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,256,GB SSD,2048,HDD,Nvidia
59,Asus,Notebook,15.6,4.0,Linux,2.0,415.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,256,GB SSD,0,No,Intel
60,Dell,Notebook,17.3,16.0,Windows 10,2.8,1299.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,256,GB SSD,2048,HDD,AMD
61,Dell,Ultrabook,14.0,8.0,Windows 10,1.7,879.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,256,GB SSD,0,No,Intel
62,Lenovo,Notebook,14.0,8.0,No OS,1.7,599.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.7,256,GB SSD,0,No,Intel
63,Asus,Notebook,14.0,8.0,Windows 10,1.4,941.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,256,GB SSD,0,No,Intel
64,HP,Notebook,15.6,8.0,Windows 10,1.86,690.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Intel
65,Asus,Ultrabook,15.6,16.0,Windows 10,1.8,1983.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,512,GB SSD,0,No,Nvidia
66,HP,Notebook,15.6,4.0,Windows 10,1.86,438.69,Standard,1366.0,768.0,No,No,No,Intel,2.0,500,GB HDD,0,No,AMD
67,HP,Notebook,14.0,4.0,Windows 10,1.44,229.0,Standard,1366.0,768.0,No,No,No,Intel,1.6,32,GB SSD,0,No,Intel
68,Lenovo,Notebook,15.6,4.0,Windows 10,1.9,549.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,1,TB HDD,0,No,Intel
69,Asus,Gaming,17.3,12.0,Linux,3.0,949.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,1,TB HDD,0,No,Nvidia
70,Microsoft,Ultrabook,13.5,4.0,Windows 10 S,1.252,1089.0,Standard,2256.0,1504.0,Yes,No,No,Intel,2.5,128,GB SSD,0,No,Intel
71,Dell,Ultrabook,13.3,8.0,Windows 10,1.4,955.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.8,256,GB SSD,0,No,AMD
72,Dell,Notebook,15.6,8.0,Windows 10,2.2,870.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,256,GB SSD,0,No,AMD
73,MSI,Gaming,17.3,8.0,Windows 10,2.7,1095.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,128,GB SSD,1024,HDD,Nvidia
74,Acer,Notebook,14.0,8.0,Windows 10,2.1,389.0,Standard,1366.0,768.0,No,No,No,Intel,2.0,1,TB HDD,0,No,Intel
75,Asus,Gaming,15.6,8.0,Windows 10,2.2,949.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,1,TB HDD,0,No,Nvidia
76,Lenovo,Notebook,15.6,8.0,No OS,2.2,519.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,2,TB HDD,0,No,Intel
77,Dell,Notebook,15.6,8.0,Windows 10,2.02,855.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,128,GB SSD,1024,HDD,Intel
78,Acer,Notebook,15.6,4.0,Windows 10,2.2,530.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,1,TB HDD,0,No,Nvidia
79,HP,Notebook,17.3,8.0,Windows 10,2.5,977.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,128,GB SSD,1024,HDD,Nvidia
80,Dell,Ultrabook,15.6,8.0,Windows 10,1.88,1096.16,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.6,256,GB SSD,0,No,Intel
81,Apple,Ultrabook,12.0,8.0,macOS,0.97,1510.0,Standard,2304.0,1440.0,No,Yes,Yes,Intel,1.3,512,GB SSD,0,No,Intel
82,HP,Notebook,14.0,8.0,Windows 10,1.63,860.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,256,GB SSD,0,No,Intel
83,Lenovo,Notebook,15.6,4.0,Windows 10,2.2,399.0,Full HD,1920.0,1080.0,No,No,No,AMD,2.5,128,GB SSD,0,No,AMD
84,Acer,Notebook,15.6,4.0,Windows 10,2.1,395.0,Standard,1366.0,768.0,No,No,No,AMD,3.0,1,TB HDD,0,No,AMD
85,Dell,Gaming,15.6,16.0,Windows 10,2.65,1349.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.8,128,GB SSD,1024,HDD,Nvidia
86,HP,Ultrabook,15.6,8.0,Windows 10,1.83,699.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.8,256,GB SSD,0,No,Nvidia
87,HP,Notebook,15.6,8.0,Windows 10,1.96,598.99,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Intel
88,Asus,Gaming,15.6,16.0,Windows 10,2.2,1449.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.8,128,GB SSD,1024,HDD,Nvidia
89,Dell,Ultrabook,13.3,8.0,Windows 10,1.21,1649.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.8,256,GB SSD,0,No,Intel
90,Asus,Gaming,15.6,8.0,Windows 10,2.45,699.0,Full HD,1920.0,1080.0,No,No,No,AMD,3.0,1,TB HDD,0,No,AMD
91,Acer,Notebook,15.6,8.0,Windows 10,2.2,689.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,1,TB HDD,0,No,Nvidia
92,HP,Notebook,13.3,16.0,Windows 10,1.49,1197.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,512,GB SSD,0,No,Intel
93,Dell,Gaming,15.6,8.0,Windows 10,2.65,1195.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Nvidia
94,Asus,Ultrabook,14.0,8.0,Windows 10,1.25,1049.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,256,GB SSD,0,No,Intel
95,Acer,2 in 1 Convertible,13.3,8.0,Windows 10,1.5,847.0,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,1.6,256,GB SSD,0,No,Intel
96,Dell,Notebook,15.6,8.0,Linux,2.2,599.9,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,1,TB HDD,0,No,AMD
97,Dell,Notebook,15.6,4.0,Linux,2.2,485.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,256,GB SSD,0,No,AMD
98,Asus,Notebook,15.6,6.0,Windows 10,2.0,577.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.4,256,GB SSD,0,No,Nvidia
99,HP,Gaming,15.6,12.0,Windows 10,2.62,1249.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.8,128,GB SSD,1024,HDD,Nvidia
100,HP,Notebook,15.6,8.0,Windows 10,1.91,719.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,256,GB SSD,0,No,AMD
101,HP,Notebook,15.6,4.0,Windows 10,2.1,349.0,Full HD,1920.0,1080.0,No,No,No,AMD,1.5,500,GB HDD,0,No,AMD
102,Dell,Notebook,15.6,8.0,Linux,2.2,647.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,1,TB HDD,0,No,AMD
103,HP,Ultrabook,13.3,8.0,Windows 10,1.38,1119.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.7,256,GB SSD,0,No,Nvidia
104,Microsoft,Ultrabook,13.5,8.0,Windows 10 S,1.252,1340.0,Standard,2256.0,1504.0,Yes,No,No,Intel,2.5,256,GB SSD,0,No,Intel
105,HP,Notebook,14.0,6.0,Windows 10,1.58,659.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.5,256,GB SSD,0,No,Nvidia
106,Lenovo,Notebook,15.6,4.0,Windows 10,1.85,414.9,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,1,TB HDD,0,No,Intel
107,Asus,Ultrabook,14.0,8.0,Windows 10,1.3,1193.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.7,256,GB SSD,0,No,Nvidia
108,MSI,Gaming,15.6,16.0,Windows 10,2.2,1299.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,256,GB SSD,1024,HDD,Nvidia
109,Lenovo,Notebook,14.0,8.0,Windows 10,1.58,1480.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.7,256,GB SSD,0,No,Intel
110,Asus,Ultrabook,15.6,16.0,Windows 10,1.5,1262.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,256,GB SSD,1024,HDD,Nvidia
111,Dell,Ultrabook,13.3,8.0,Windows 10,1.23,1379.0,Quad HD+,3200.0,1800.0,Yes,No,No,Intel,2.4,256,GB SSD,0,No,Intel
112,Lenovo,2 in 1 Convertible,13.3,8.0,Windows 10,1.37,1399.0,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,2.5,256,GB SSD,0,No,Intel
113,HP,Notebook,14.0,4.0,Windows 10,1.63,722.0,Standard,1366.0,768.0,No,Yes,No,Intel,1.6,500,GB HDD,0,No,Intel
114,Dell,Ultrabook,13.3,8.0,Windows 10,1.21,1629.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.6,256,GB SSD,0,No,Intel
115,HP,2 in 1 Convertible,13.3,8.0,Windows 10,1.26,1398.99,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,1.6,256,GB SSD,0,No,Intel
116,HP,Notebook,14.0,8.0,Windows 10,1.63,1084.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,512,GB SSD,0,No,Intel
117,Dell,Notebook,15.6,8.0,Windows 10,2.16,1130.33,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.8,256,GB SSD,1024,HDD,Nvidia
118,Asus,Notebook,17.3,4.0,Windows 10,2.0,564.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,1,TB HDD,0,No,Nvidia
119,Asus,Notebook,15.6,8.0,Windows 10,1.7,1118.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,256,GB SSD,0,No,Nvidia
120,Acer,Notebook,15.6,6.0,Windows 10,2.1,479.0,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,2.4,1,TB HDD,0,No,Intel
121,MSI,Gaming,15.6,16.0,Windows 10,1.8,2241.5,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,256,GB SSD,2048,HDD,Nvidia
122,Lenovo,Notebook,15.6,8.0,No OS,2.2,629.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Nvidia
123,HP,Notebook,17.3,16.0,Windows 10,2.5,1271.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,512,GB SSD,0,No,Nvidia
124,Acer,Notebook,15.6,4.0,Windows 10,2.1,451.0,Standard,1366.0,768.0,No,No,No,AMD,3.0,256,GB SSD,0,No,AMD
125,HP,Notebook,15.6,4.0,No OS,1.86,259.0,Standard,1366.0,768.0,No,No,No,Intel,1.6,500,GB HDD,0,No,Intel
126,HP,Notebook,14.0,8.0,Windows 10,1.63,812.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,1,TB HDD,0,No,Intel
127,Asus,Notebook,14.0,4.0,Windows 10 S,1.65,277.99,Standard,1366.0,768.0,No,No,No,AMD,1.5,64,GB SSD,0,No,AMD
128,Dell,Notebook,17.3,16.0,Windows 10,2.8,1396.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,256,GB SSD,2048,HDD,AMD
129,HP,Notebook,17.3,8.0,Windows 10,2.5,928.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,256,GB SSD,0,No,Intel
130,Dell,Notebook,15.6,8.0,Windows 10,2.36,638.99,Standard,1366.0,768.0,No,No,No,Intel,2.5,1,TB HDD,0,No,AMD
131,Dell,Notebook,15.6,4.0,Windows 10,2.2,449.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.0,1,TB HDD,0,No,AMD
132,Acer,Ultrabook,14.0,8.0,Windows 10,1.6,884.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.8,256,GB SSD,0,No,Intel
133,Acer,Notebook,15.6,4.0,Windows 10,2.2,572.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,256,GB SSD,0,No,Nvidia
134,HP,Notebook,15.6,8.0,Windows 10,2.05,598.0,Standard,1366.0,768.0,No,No,No,Intel,2.7,1,TB HDD,0,No,Intel
135,HP,Notebook,14.0,8.0,Windows 10,1.63,988.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,256,GB SSD,0,No,Intel
136,Lenovo,Notebook,15.6,4.0,No OS,1.9,252.36,Standard,1366.0,768.0,No,No,No,Intel,1.1,1,TB HDD,0,No,Intel
137,Asus,Gaming,17.3,8.0,Windows 10,3.0,938.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,128,GB SSD,1024,HDD,Nvidia
138,Lenovo,Notebook,15.6,4.0,No OS,2.2,499.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,1,TB HDD,0,No,Nvidia
139,HP,Notebook,13.3,4.0,Windows 10,1.32,699.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.5,256,GB SSD,0,No,Intel
140,Acer,Notebook,17.3,4.0,Windows 10,3.0,655.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.7,1,TB HDD,0,No,Nvidia
141,Lenovo,Notebook,14.0,8.0,Windows 10,1.75,1116.02,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.6,256,GB SSD,0,No,AMD
142,Lenovo,Gaming,15.6,8.0,No OS,2.4,869.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.8,256,GB SSD,0,No,Nvidia
143,Toshiba,Notebook,15.6,4.0,Windows 10,2.1,602.0,Standard,1366.0,768.0,No,No,No,Intel,2.3,500,GB HDD,0,No,Intel
144,HP,Notebook,15.6,4.0,Windows 10,1.86,369.0,Standard,1366.0,768.0,No,No,No,AMD,2.5,256,GB SSD,0,No,AMD
145,Asus,Ultrabook,14.0,8.0,Windows 10,1.25,1099.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.8,256,GB SSD,0,No,Intel
146,HP,Ultrabook,12.5,8.0,Windows 10,0.97,2014.0,4K Ultra HD,3840.0,2160.0,Yes,Yes,No,Intel,1.2,512,GB SSD,0,No,Intel
147,Asus,Notebook,15.6,4.0,Windows 10,2.0,344.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.1,1,TB HDD,0,No,Intel
148,MSI,Gaming,17.3,16.0,Windows 10,2.9,2029.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,256,GB SSD,1024,HDD,Nvidia
149,Acer,Notebook,15.6,4.0,Windows 10,2.1,447.0,Standard,1366.0,768.0,No,No,No,Intel,2.0,1,TB HDD,0,No,Intel
150,Dell,Gaming,15.6,16.0,Windows 10,2.56,1249.26,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,512,GB SSD,0,No,Nvidia
151,Dell,Gaming,15.6,8.0,Windows 10,2.62,899.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,1,TB Hybrid,0,No,Nvidia
152,Lenovo,Notebook,15.6,4.0,Windows 10,1.9,498.0,Standard,1366.0,768.0,No,No,No,Intel,2.5,128,GB SSD,0,No,Intel
153,MSI,Gaming,17.3,16.0,Windows 10,2.8,1890.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,256,GB SSD,1024,HDD,Nvidia
154,HP,Ultrabook,14.0,4.0,Windows 10,1.48,1082.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,256,GB SSD,0,No,Intel
155,HP,Notebook,15.6,6.0,Windows 10,1.91,619.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,256,GB SSD,0,No,AMD
156,Lenovo,2 in 1 Convertible,14.0,4.0,Windows 10,1.74,629.0,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,2.4,256,GB SSD,0,No,Intel
157,Asus,2 in 1 Convertible,13.3,8.0,Windows 10,1.1,1315.0,Full HD,1920.0,1080.0,Yes,No,No,Intel,1.6,256,GB SSD,0,No,Intel
158,Dell,2 in 1 Convertible,15.6,8.0,Windows 10,1.56,1049.0,Full HD,1920.0,1080.0,Yes,No,No,Intel,1.8,256,GB SSD,0,No,Intel
159,Toshiba,Notebook,15.6,4.0,Windows 10,2.1,447.0,Standard,1366.0,768.0,No,No,No,Intel,2.2,500,GB HDD,0,No,Intel
160,Asus,Notebook,15.6,4.0,Windows 10,2.03,403.0,Standard,1366.0,768.0,No,No,No,AMD,3.0,1,TB HDD,0,No,AMD
161,Acer,Notebook,17.3,4.0,Windows 10,3.0,805.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.6,256,GB SSD,0,No,Nvidia
162,Dell,Notebook,15.6,8.0,Windows 10,2.13,728.0,Full HD,1920.0,1080.0,No,No,No,Intel,1.6,256,GB SSD,0,No,AMD
163,Lenovo,Gaming,15.6,16.0,Windows 10,2.5,1079.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.8,256,GB SSD,0,No,Nvidia
164,Acer,Notebook,15.6,4.0,Windows 10,2.1,348.0,Standard,1366.0,768.0,No,No,No,Intel,1.1,1,TB HDD,0,No,Intel
165,MSI,Gaming,15.6,16.0,Windows 10,2.4,1799.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.8,256,GB SSD,1024,HDD,Nvidia
166,Acer,Notebook,15.6,4.0,Windows 10,2.1,363.51,Standard,1366.0,768.0,No,No,No,Intel,1.1,1,TB HDD,0,No,Intel
167,Dell,Gaming,15.6,8.0,Windows 10,2.56,1060.49,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,128,GB SSD,1024,HDD,Nvidia
168,Acer,Notebook,17.3,8.0,Windows 10,3.0,854.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.6,256,GB SSD,0,No,Nvidia
169,HP,Notebook,13.3,4.0,Windows 10,1.49,754.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.6,500,GB HDD,0,No,Intel
