,Unnamed: 0,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_brand,CPU_base_clock_speed,PrimaryStorage,PrimaryStorageType,SecondaryStorage,SecondaryStorageType,GPU_company,UsageType
904,904,Lenovo,Notebook,15.6,8.0,Windows 10,1.95,1962.99,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.5,512,GB SSD,0,No,Intel,Programming
905,905,LG,Ultrabook,15.6,16.0,Windows 10,1.08,2099.0,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,2.7,512,GB SSD,0,No,Intel,Programming
906,906,HP,Netbook,12.5,8.0,Windows 10,1.26,1483.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,512,GB SSD,0,No,Intel,Programming
907,907,Acer,Notebook,15.6,4.0,Chrome OS,2.2,359.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,1.5,16,GB Flash Storage,0,No,Intel,Uni/School
908,908,Lenovo,Notebook,15.6,8.0,Windows 10,2.6,789.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.3,128,GB SSD,1024,HDD,Nvidia,Programming
909,909,LG,Ultrabook,14.0,8.0,Windows 10,0.98,1899.0,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,2.7,512,GB SSD,0,No,Intel,Programming
910,910,Dell,Notebook,14.0,8.0,Windows 10,1.6,1205.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,256,GB SSD,0,No,Intel,Programming
911,911,HP,Ultrabook,12.5,8.0,Windows 10,1.09,2711.2200000000007,4K Ultra HD,3840.0,2160.0,Yes,No,No,Intel,1.2,240,GB SSD,0,No,Intel,Work/Business
912,912,Lenovo,Notebook,15.6,6.0,Windows 10,2.2,789.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,256,GB SSD,0,No,Nvidia,Programming
913,913,HP,Notebook,15.6,8.0,Windows 10,2.04,1018.99,Full HD,1920.0,1080.0,No,No,No,Intel,2.7,256,GB SSD,0,No,Nvidia,Programming
914,914,Acer,Notebook,15.6,4.0,Windows 10,2.4,499.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.4,1,TB HDD,0,No,Intel,Uni/School
915,915,Lenovo,Notebook,13.3,4.0,Windows 10,1.44,881.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,128,GB SSD,0,No,Intel,Work/Business
916,916,HP,Notebook,13.3,8.0,Windows 10,1.49,960.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Intel,Programming
917,917,MSI,Gaming,17.3,16.0,Windows 10,2.7,1599.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,256,GB SSD,1024,HDD,Nvidia,Programming
918,918,Dell,Gaming,15.6,16.0,Windows 10,2.6,1349.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,128,GB SSD,1024,HDD,Nvidia,Programming
919,919,MSI,Gaming,15.6,8.0,Windows 10,2.2,1119.91,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,128,GB SSD,1024,HDD,Nvidia,Programming
920,920,Dell,Notebook,15.6,4.0,Windows 10,2.18,684.99,Standard,1366.0,768.0,No,No,No,Intel,2.5,1,TB HDD,0,No,AMD,Programming
921,921,HP,Ultrabook,15.6,8.0,Windows 10,1.84,1296.99,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,AMD,Programming
922,922,HP,Ultrabook,13.3,8.0,Windows 10,1.39,1149.0,Quad HD+,3200.0,1800.0,Yes,No,No,Intel,2.7,256,GB SSD,0,No,Intel,Programming
923,923,Toshiba,Notebook,15.6,16.0,Windows 10,2.4,1975.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.6,256,GB SSD,0,No,Nvidia,Programming
924,924,Lenovo,2 in 1 Convertible,13.3,8.0,Windows 10,1.37,1825.0,Full HD,1920.0,1080.0,Yes,Yes,No,Intel,2.5,512,GB SSD,0,No,Intel,Programming
925,925,Dell,Notebook,15.6,4.0,Windows 10,1.95,729.9,Standard,1366.0,768.0,No,No,No,Intel,2.3,500,GB HDD,0,No,Intel,Uni/School
926,926,Lenovo,Ultrabook,12.5,8.0,Windows 10,1.36,1650.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.7,256,GB SSD,0,No,Intel,Programming
927,927,HP,Notebook,15.6,8.0,Windows 10,2.31,1165.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.3,256,GB SSD,0,No,Intel,Work/Business
928,928,Dell,Notebook,15.6,4.0,Windows 10,2.18,708.06,Standard,1366.0,768.0,No,No,No,Intel,2.5,1,TB HDD,0,No,Intel,Uni/School
929,929,HP,Notebook,14.0,4.0,Windows 10,1.95,1149.0,Standard,1366.0,768.0,No,No,No,Intel,2.3,500,GB HDD,0,No,Intel,Work/Business
930,930,Lenovo,Notebook,15.6,4.0,Windows 10,2.2,309.0,Standard,1366.0,768.0,No,No,No,Intel,1.1,1,TB HDD,0,No,Intel,Uni/School
931,931,HP,Ultrabook,12.5,4.0,Windows 10,1.26,1579.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.3,500,GB HDD,0,No,Intel,Work/Business
932,932,HP,Notebook,15.6,4.0,No OS,1.86,288.9,Standard,1366.0,768.0,No,No,No,Intel,1.6,1,TB HDD,0,No,Intel,Uni/School
933,933,Lenovo,2 in 1 Convertible,13.3,16.0,Windows 10,1.3,1799.0,Quad HD+,3200.0,1800.0,Yes,Yes,No,Intel,2.2,1,TB SSD,0,No,Intel,Programming
934,934,Toshiba,Notebook,14.0,4.0,Windows 10,1.47,1105.0,Full HD,1920.0,1080.0,No,Yes,No,Intel,2.3,128,GB SSD,0,No,Intel,Work/Business
935,935,HP,Netbook,12.5,8.0,Windows 10,1.26,1669.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.3,256,GB SSD,0,No,Intel,Work/Business
936,936,Dell,Notebook,15.6,4.0,Windows 10,2.18,558.6,Standard,1366.0,768.0,No,No,No,Intel,2.0,1,TB HDD,0,No,Intel,Uni/School
937,937,MSI,Gaming,15.6,8.0,Windows 10,2.2,1199.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.8,128,GB SSD,1024,HDD,Nvidia,Programming
938,938,Dell,Ultrabook,14.0,8.0,Windows 10,1.36,1639.0,Full HD,1920.0,1080.0,No,No,No,Intel,2.5,256,GB SSD,0,No,Intel,Programming
